Schema.org,,,,,,,,,,,,,,,
Parent Type,Property,Type,Description,EOSC/EDMI,ISO-19115:2003,Dataverse,DCAT,DATS,Datacite,RIF-CS,DC ,BioSchema,B2FIND,DDI,ECRIN Clinical Research Metadata Schema 
schema:CreativeWork,provider,Organization or Person,"The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller. Supersedes carrier.",,,Dataset Publisher,,,,No mapping,,,,,
schema:CreativeWork,publisher,Organization or Person,The publisher of the creative work.,,"Responsible party (role: ""publisher"")",Dataset Publisher,publisher (M),,Publisher (M),registryObject:collection:citationInfo:citationMetadata:publisher OR registryObject@Group,Publisher - dcterms:publisher,,Publisher (R),distrbtr,Publisher/ Provider (M)
schema:CreativeWork,sponsor,Organization or Person,"A person or organization that supports a thing through a pledge, promise, or financial contribution. e.g. a sponsor of a Medical Study or a corporate sponsor of an event.",,,,,,,,,,,,
schema:CreativeWork,version,Number or Text,The version of the CreativeWork embodied by a specified resource.,"
version (O)",,Version,version,version (R),Version (R),registryObject:collection:citationInfo:citationMetadata:version,,version (R),,version,version (O)
schema:CreativeWork,isAccessibleForFree,Boolean,A flag to signal that the publication is accessible for free.,,,,,,,No mapping,,,,,
schema:CreativeWork,isPartOf,CreativeWork,"Indicates a CreativeWork that this CreativeWork is (in some sense) part of. Reverse property hasPart.

If the dataset is a collection of smaller datasets, use the hasPart property to denote such relationship. Conversly, if the dataset is part of a larger dataset, use isPartOf.","
includedIn(Dataset) (R)",,,is part of,,,relatedObject|relatedInfo collection where relation[@type='isPartOf']        ,,,,,
schema:CreativeWork,hasPart,CreativeWork,Indicates a CreativeWork that is (in some sense) a part of this CreativeWork. Reverse property isPartOf,includes(Dataset) (R),,,has part,hasPart (O),,relatedObject|relatedInfo collection where relation[@type='hasPart']        ,,,,,
schema:CreativeWork,position,Integer or Text,"The position of an item in a series or sequence of items. (While schema.org considers this a property of CreativeWork, it is also the way to indicate ordering in any list (e.g. the Authors list). By default arrays are unordered in JSON-LD",,,,,,,No mapping,,,,,
schema:CreativeWork,spatialCoverage,"Text, Place",You can provide a single point that describes the spatial aspect of the dataset. Only include this property if the dataset has a spatial dimension. ,spatialCoverage (O),Geographic extent,,spatial/ geographic coverage,,GeoLocation,collection/coverage/spatial,dcterms:coverage (spatial),,Spatial Coverage (O),,
schema:CreativeWork,temporalCoverage,Text,The data in the dataset covers a specific time interval. Only include this property if the dataset has a temporal dimension.,temporalCoverage (O),Temporal extent,Time Period Covered,datasetTimeInterval,,Date,collection/coverage/temporal,dcterms:temporal (start); dcterms:temporal (end),,Temporal Coverage (O),timePrd,
schema:Dataset,distribution,,,distribution (R),Distribution information,, distribution,distribution (R),distribution,"location/address/electronic @type=""url"" @ target=""directDownload""",,distribution,,,
schema:Dataset,includedInDataCatalog,,,includedInDataCatalog (R),,,,distribution.storedIn (O),publisher,No mapping,,includedInDataCatalog (M),,,
schema:Dataset,measurementTechnique,,,,,,,,,,,measurementTechnique (R),,,
schema:Dataset,variableMeasured,,,,,,,,,,,variablesMeasured (R),,,
schema:Dataset,variablesMeasured,,,variableMeasured (R),,,,dimensions (O),,,,,,,
schema:DataCatalog,dataset,,,,,,dataset (M),,,,,,,,
schema:DataCatalog,measurementTechnique,,,measurementTechniques (R),,,,,,,,,,,
schema:CreativeWork,sourceOrganization,Text,,,,,,,,registryObject@Group,,,,,
schema:Thing,inLanguage,,,,Resource language,Language,language,,Language,"(default to English) ""en""",Language - dcterms:language,,Language (O),,Language (R)
,,,,,,Distributor,,,,,dcterms:contributor (Distributor),,,distrbtr,
,,,,scientificType (R),,,,,,,,,,,
schema:Thing,additionalType,Text/URL,,contentType,,Kind of Data,type,types (M),ResourceType (M),,dcterms:type,,ResourceType (R),dataKind,Resource Class (M)
,,,,,,Data Sources,,,,,dcterms:source,,,dataSrc,
schema:Thing,productionDate,Date,,,,Production Date,,,,,Date - dcterms:date,,,,
,,,,,,Depositor,,,,,Contributor - dcterms:contributor (Depositor),,,,
,,,,,,Deposit Date,,,,,dcterms:dateSubmitted,,,,
,,,,,,,,,,,,rdf.type,,,
,,,,,,,Provenance,,,,,,,,
schema:Thing,contentURL,URL,,,"Online resource (function: ""download""): linkage",,access URL,access (M),,,,,,,
schema:Thing,subjectOf,CreativeWork/Event,A CreativeWork or Event about this Thing,,,,,,,,,,,,
schema:Creativework,about,Thing,"The subject matter of the content.
Inverse property: subjectOf.",,,,,,,,,,,,
,,,,,,,,,Subject (O),Subject,Subject,,Tags (O),,Study Topics (R)
,,,,,,,,,,,,,,,Source study title (M)
,,,,,,,,,,,,,,,Study identifiers (R)
,,,,,,,,,,,,,,,Record key types (M)
,,,,,,,,,,,,,,,Identifier type (M)
,,,,,,,,,,,,,,,Associated consent (M)
,,,,,,,,,,,,,,,Access Type (M)
,,,,,,,,,,,,,,,Access Details (M)
,,,,,,,,,,,,,,,Access Contact (M)
,,,,,,,,,"Size, Format",,"Description, table of contents",,,,Resources (M)
,,,,,,DatasetContact (M),,,,,,,,,
